name,female,male,setai,population,area
千代田区,29321,29255,32871,58576,11.66
中央区,74828,68167,82057,142995,10.21
港区,128985,114992,138942,243977,20.37
新宿区,166430,167763,209872,334193,18.22
文京区,110185,100127,114459,210312,11.29
台東区,93339,98410,111848,191749,10.11
墨田区,131288,130435,141769,261723,13.77
江東区,252961,248540,254002,501501,40.16
品川区,192571,185552,209048,378123,22.84
目黒区,143287,128182,151257,271469,14.67
大田区,356381,355676,374463,712057,60.66
世田谷区,463103,420186,461518,883289,58.05
渋谷区,114347,105551,132932,219898,15.11
中野区,159398,162336,194834,321734,15.59
杉並区,287537,265751,309147,553288,34.06
豊島区,138871,141768,171610,280639,13.01
北区,171639,169613,186442,341252,20.61
荒川区,105856,105415,110853,211271,10.16
板橋区,278491,272267,292068,550758,32.22
練馬区,367109,352000,355564,719109,48.08
足立区,338301,340322,329506,678623,53.25
葛飾区,226068,226721,221587,452789,34.8
江戸川区,339582,346805,328681,686387,49.9
